Active addresses,Blocks count,Block time,CHAIN,Date(UTC),Value
1580.0,5129,16.84538896471047,Ethereum,2015-12-22T00:00:00Z,21027.0
1494.0,5112,16.901408450704224,Ethereum,2015-12-23T00:00:00Z,22740.0
1492.0,5018,17.218015145476286,Ethereum,2015-12-24T00:00:00Z,13494.0
1434.0,5080,17.007874015748033,Ethereum,2015-12-25T00:00:00Z,9521.0
1499.0,5004,17.26618705035971,Ethereum,2015-12-26T00:00:00Z,10726.0
1445.0,5018,17.218015145476286,Ethereum,2015-12-27T00:00:00Z,21867.0
1618.0,5081,17.004526667978745,Ethereum,2015-12-28T00:00:00Z,12368.0
1557.0,4981,17.34591447500502,Ethereum,2015-12-29T00:00:00Z,11358.0
1469.0,5028,17.183770883054894,Ethereum,2015-12-30T00:00:00Z,21767.0
1712.0,5040,17.142857142857142,Ethereum,2015-12-31T00:00:00Z,10301.0
1536.0,4885,17.686796315250767,Ethereum,2016-01-01T00:00:00Z,8233.0
1619.0,5095,16.957801766437683,Ethereum,2016-01-02T00:00:00Z,9164.0
1618.0,5134,16.82898324892871,Ethereum,2016-01-03T00:00:00Z,9258.0
1629.0,5096,16.95447409733124,Ethereum,2016-01-04T00:00:00Z,9474.0
1631.0,5126,16.85524775653531,Ethereum,2016-01-05T00:00:00Z,16430.0
1677.0,5090,16.974459724950883,Ethereum,2016-01-06T00:00:00Z,17074.0
1728.0,4981,17.34591447500502,Ethereum,2016-01-07T00:00:00Z,22075.0
1646.0,5176,16.69242658423493,Ethereum,2016-01-08T00:00:00Z,10919.0
1684.0,5099,16.94449892135713,Ethereum,2016-01-09T00:00:00Z,11793.0
1842.0,5093,16.96446102493619,Ethereum,2016-01-10T00:00:00Z,10320.0
1873.0,5107,16.917955747013902,Ethereum,2016-01-11T00:00:00Z,10893.0
1998.0,4930,17.525354969574035,Ethereum,2016-01-12T00:00:00Z,10862.0
1772.0,5002,17.273090763694523,Ethereum,2016-01-13T00:00:00Z,17665.0
1727.0,5090,16.974459724950883,Ethereum,2016-01-14T00:00:00Z,10653.0
