Date(UTC),PRICE,TOKEN
2017-07-02,268.1173344767129,Ethereum (ETH)
2017-07-03,279.37452154915843,Ethereum (ETH)
2017-07-04,277.5243169092132,Ethereum (ETH)
2017-07-05,264.68706907364884,Ethereum (ETH)
2017-07-06,266.6777920114651,Ethereum (ETH)
2017-07-07,254.45275021372524,Ethereum (ETH)
2017-07-08,241.00844230839863,Ethereum (ETH)
2017-07-09,243.81772551043528,Ethereum (ETH)
2017-07-10,225.8210001849501,Ethereum (ETH)
2017-07-11,195.59260791411737,Ethereum (ETH)
2017-07-12,203.67755498431552,Ethereum (ETH)
2017-07-13,209.1896495798254,Ethereum (ETH)
2017-07-14,196.83911474585568,Ethereum (ETH)
2017-07-15,184.79573317257825,Ethereum (ETH)
2017-07-16,156.569024343769,Ethereum (ETH)
2017-07-17,171.7290800154021,Ethereum (ETH)
2017-07-18,201.08367766748768,Ethereum (ETH)
2017-07-19,221.0479763464008,Ethereum (ETH)
2017-07-20,218.23203190144991,Ethereum (ETH)
2017-07-21,224.69210188947577,Ethereum (ETH)
2017-07-22,225.2760397924072,Ethereum (ETH)
2017-07-23,228.62998380806044,Ethereum (ETH)
2017-07-24,226.98753167265403,Ethereum (ETH)
2017-07-25,211.0837919424635,Ethereum (ETH)
2017-07-26,200.81569675716509,Ethereum (ETH)
2017-07-27,202.92284155091724,Ethereum (ETH)
2017-07-28,197.7284827740756,Ethereum (ETH)
2017-07-29,188.45607306935355,Ethereum (ETH)
2017-07-30,199.4676799953961,Ethereum (ETH)
2017-07-31,196.39975912606792,Ethereum (ETH)
2017-08-01,217.9083601805785,Ethereum (ETH)
2017-08-02,222.07116219608392,Ethereum (ETH)
2017-08-03,223.20746333631047,Ethereum (ETH)
2017-08-04,223.97970933248607,Ethereum (ETH)
2017-08-05,238.2910582873324,Ethereum (ETH)
2017-08-06,260.6174384151402,Ethereum (ETH)
2017-08-07,266.4312867538837,Ethereum (ETH)
2017-08-08,281.2741811501222,Ethereum (ETH)
2017-08-09,298.8106354274452,Ethereum (ETH)
2017-08-10,301.5975502307884,Ethereum (ETH)
2017-08-11,301.6079385545529,Ethereum (ETH)
2017-08-12,313.4475416073229,Ethereum (ETH)
2017-08-13,295.638294080091,Ethereum (ETH)
2017-08-14,300.2250854047384,Ethereum (ETH)
2017-08-15,287.9380567108586,Ethereum (ETH)
2017-08-16,293.63876732564853,Ethereum (ETH)
2017-08-17,304.1178645812748,Ethereum (ETH)
2017-08-18,299.3896804496485,Ethereum (ETH)
2017-08-19,291.8361111145117,Ethereum (ETH)
2017-08-20,293.8487777937583,Ethereum (ETH)
2017-08-21,320.01155600949875,Ethereum (ETH)
2017-08-22,311.6238755450041,Ethereum (ETH)
2017-08-23,319.3120783202328,Ethereum (ETH)
2017-08-24,321.9624991403611,Ethereum (ETH)
2017-08-25,332.2796008200878,Ethereum (ETH)
2017-08-26,330.1962789939351,Ethereum (ETH)
2017-08-27,336.862915214781,Ethereum (ETH)
2017-08-28,343.61851762214854,Ethereum (ETH)
2017-08-29,361.0822235512946,Ethereum (ETH)
2017-08-30,379.7604262930315,Ethereum (ETH)
2017-08-31,385.60069167203926,Ethereum (ETH)
2017-09-01,392.024504252284,Ethereum (ETH)
2017-09-02,359.8621491803955,Ethereum (ETH)
2017-09-03,350.774080429872,Ethereum (ETH)
2017-09-04,317.55555847288764,Ethereum (ETH)
2017-09-05,302.8977816309639,Ethereum (ETH)
2017-09-06,333.04202387702674,Ethereum (ETH)
2017-09-07,331.8881120689276,Ethereum (ETH)
