Date(UTC),send_amount,stable,tvl
2018-01-26T00:00:00+00:00,0.0,USDC,0.0
2018-01-26T00:00:00+00:00,0.0,Other,0.0
2018-01-26T00:00:00+00:00,39466010.22579999,USDT,0.0
2018-01-26T00:00:00+00:00,0.0,DAI,0.0
2018-01-26T00:00:00+00:00,0.0,BUSD,0.0
2018-01-26T00:00:00+00:00,0.0,FRAX,0.0
2018-01-27T00:00:00+00:00,0.0,BUSD,0.0
2018-01-27T00:00:00+00:00,0.0,DAI,0.0
2018-01-27T00:00:00+00:00,0.0,FRAX,0.0
2018-01-27T00:00:00+00:00,0.0,Other,0.0
2018-01-27T00:00:00+00:00,0.0,USDC,0.0
2018-01-27T00:00:00+00:00,28431444.367276,USDT,0.0
2018-01-28T00:00:00+00:00,0.0,USDC,0.0
2018-01-28T00:00:00+00:00,0.0,Other,0.0
2018-01-28T00:00:00+00:00,42483773.49871999,USDT,30000000.0
2018-01-28T00:00:00+00:00,0.0,DAI,0.0
2018-01-28T00:00:00+00:00,0.0,FRAX,0.0
2018-01-28T00:00:00+00:00,0.0,BUSD,0.0
2018-01-29T00:00:00+00:00,0.0,BUSD,0.0
2018-01-29T00:00:00+00:00,0.0,DAI,0.0
2018-01-29T00:00:00+00:00,0.0,FRAX,0.0
2018-01-29T00:00:00+00:00,0.0,Other,0.0
2018-01-29T00:00:00+00:00,0.0,USDC,0.0
2018-01-29T00:00:00+00:00,958926.7232789998,USDT,0.0
2018-01-30T00:00:00+00:00,0.0,Other,0.0
2018-01-30T00:00:00+00:00,0.0,BUSD,0.0
2018-01-30T00:00:00+00:00,0.0,DAI,0.0
2018-01-30T00:00:00+00:00,0.0,FRAX,0.0
2018-01-30T00:00:00+00:00,0.0,USDC,0.0
2018-01-30T00:00:00+00:00,28836424.61526599,USDT,0.0
2018-01-31T00:00:00+00:00,3496321.0298779984,USDT,0.0
2018-01-31T00:00:00+00:00,0.0,USDC,0.0
2018-01-31T00:00:00+00:00,0.0,Other,0.0
2018-01-31T00:00:00+00:00,0.0,BUSD,0.0
2018-01-31T00:00:00+00:00,0.0,DAI,0.0
2018-01-31T00:00:00+00:00,0.0,FRAX,0.0
2018-02-01T00:00:00+00:00,0.0,USDC,0.0
2018-02-01T00:00:00+00:00,0.0,Other,0.0
2018-02-01T00:00:00+00:00,1357268.3742,USDT,0.0
2018-02-01T00:00:00+00:00,0.0,DAI,0.0
2018-02-01T00:00:00+00:00,0.0,BUSD,0.0
2018-02-01T00:00:00+00:00,0.0,FRAX,0.0
2018-02-02T00:00:00+00:00,30498080.468240995,USDT,0.0
2018-02-02T00:00:00+00:00,0.0,USDC,0.0
2018-02-02T00:00:00+00:00,0.0,Other,0.0
2018-02-02T00:00:00+00:00,0.0,BUSD,0.0
2018-02-02T00:00:00+00:00,0.0,DAI,0.0
2018-02-02T00:00:00+00:00,0.0,FRAX,0.0
2018-02-03T00:00:00+00:00,0.0,BUSD,0.0
2018-02-03T00:00:00+00:00,0.0,DAI,0.0
2018-02-03T00:00:00+00:00,0.0,FRAX,0.0
2018-02-03T00:00:00+00:00,0.0,Other,0.0
2018-02-03T00:00:00+00:00,0.0,USDC,0.0
2018-02-03T00:00:00+00:00,3775708.484699999,USDT,0.0
2018-02-04T00:00:00+00:00,5542042.073072001,USDT,0.0
2018-02-04T00:00:00+00:00,0.0,USDC,0.0
2018-02-04T00:00:00+00:00,0.0,Other,0.0
2018-02-04T00:00:00+00:00,0.0,DAI,0.0
2018-02-04T00:00:00+00:00,0.0,BUSD,0.0
2018-02-04T00:00:00+00:00,0.0,FRAX,0.0
2018-02-05T00:00:00+00:00,0.0,BUSD,0.0
2018-02-05T00:00:00+00:00,0.0,DAI,0.0
2018-02-05T00:00:00+00:00,0.0,FRAX,0.0
2018-02-05T00:00:00+00:00,0.0,Other,0.0
2018-02-05T00:00:00+00:00,0.0,USDC,0.0
2018-02-05T00:00:00+00:00,8672889.1825,USDT,0.0
2018-02-06T00:00:00+00:00,0.0,Other,0.0
2018-02-06T00:00:00+00:00,0.0,USDC,0.0
2018-02-06T00:00:00+00:00,4075690.7055140003,USDT,0.0
2018-02-06T00:00:00+00:00,0.0,FRAX,0.0
2018-02-06T00:00:00+00:00,0.0,BUSD,0.0
2018-02-06T00:00:00+00:00,0.0,DAI,0.0
2018-02-07T00:00:00+00:00,0.0,BUSD,0.0
2018-02-07T00:00:00+00:00,0.0,DAI,0.0
2018-02-07T00:00:00+00:00,0.0,FRAX,0.0
2018-02-07T00:00:00+00:00,0.0,Other,0.0
2018-02-07T00:00:00+00:00,0.0,USDC,0.0
2018-02-07T00:00:00+00:00,2501799.4726,USDT,0.0
2018-02-08T00:00:00+00:00,1299148.0675499998,USDT,0.0
2018-02-08T00:00:00+00:00,0.0,USDC,0.0
2018-02-08T00:00:00+00:00,0.0,Other,0.0
2018-02-08T00:00:00+00:00,0.0,BUSD,0.0
2018-02-08T00:00:00+00:00,0.0,DAI,0.0
2018-02-08T00:00:00+00:00,0.0,FRAX,0.0
2018-02-09T00:00:00+00:00,0.0,USDC,0.0
2018-02-09T00:00:00+00:00,3356741.608624,USDT,0.0
2018-02-09T00:00:00+00:00,0.0,Other,0.0
2018-02-09T00:00:00+00:00,0.0,BUSD,0.0
2018-02-09T00:00:00+00:00,0.0,DAI,0.0
2018-02-09T00:00:00+00:00,0.0,FRAX,0.0
2018-02-10T00:00:00+00:00,0.0,BUSD,0.0
2018-02-10T00:00:00+00:00,0.0,DAI,0.0
2018-02-10T00:00:00+00:00,0.0,FRAX,0.0
2018-02-10T00:00:00+00:00,0.0,Other,0.0
2018-02-10T00:00:00+00:00,0.0,USDC,0.0
2018-02-10T00:00:00+00:00,939885.6503500001,USDT,0.0
2018-02-11T00:00:00+00:00,0.0,USDC,0.0
2018-02-11T00:00:00+00:00,2114990.8428,USDT,0.0
2018-02-11T00:00:00+00:00,0.0,Other,0.0
2018-02-11T00:00:00+00:00,0.0,BUSD,0.0
2018-02-11T00:00:00+00:00,0.0,DAI,0.0
2018-02-11T00:00:00+00:00,0.0,FRAX,0.0
2018-02-12T00:00:00+00:00,0.0,BUSD,0.0
2018-02-12T00:00:00+00:00,0.0,DAI,0.0
2018-02-12T00:00:00+00:00,0.0,FRAX,0.0
